Frequency_MHz,Mean,Std_Dev,Min,Max
1030.0,2157.7414633495173,372.3656500568806,1332.874337662782,2895.6023552967354
1040.0,1818.0697759442824,526.2872692721213,321.6970624671602,2749.8234488781277
1050.0,1646.6978377367236,745.5079014961539,307.5662530252629,2675.7406451298675
1060.0,1560.4238825344794,671.1219761086816,286.0996329952207,2669.9574902983004
1070.0,1653.0178484758842,514.4678732633929,693.0259735392317,2316.720311129507
1080.0,2042.5747802272087,361.3922345316372,1296.0003858024118,2895.6023552967354
1090.0,1869.0079640281951,649.3192977258423,700.0178569150931,2896.309375740099
1100.0,1882.3108808976529,409.5263943316753,580.1810062385704,2287.5019125675067
1110.0,1702.2832413616807,543.4821121059741,292.48760657504783,2671.241097317874
1120.0,1585.8826692456,596.6285941743411,292.3696290656743,2240.6661955766635
1130.0,1517.4801868962209,417.14491771734583,710.4758968466138,2066.7820397903597
1140.0,1404.587686887097,577.9888146367151,322.61587065735,2337.701862941466
1150.0,1611.7743206765026,664.961426857076,287.5865087238969,2366.1210873495043
1160.0,1627.4059199192038,505.7928546469687,502.67285584164983,2082.5220286950143
1170.0,1743.3069089662486,585.7389360035266,755.4846126824821,2896.309375740099
1180.0,1865.1246179684033,472.0472428139126,1026.240225288407,2815.209050852174
1190.0,1740.1132685258108,578.201463765372,390.0,2653.987189117536
1200.0,1854.397147815795,404.7809014425499,1139.3335771406018,2587.6819742773646
1210.0,1660.0837468194268,622.4948140715487,777.0006435003771,2700.352569573092
1220.0,1445.8637351274865,610.4675089168904,301.38513566531446,2343.373636448102
1230.0,1588.3446732423968,596.5219518027009,326.95565448543636,2530.094464639611
1240.0,1954.2152589583106,598.3512694517352,978.2254341408221,2896.309375740099
1250.0,1748.7502110875262,554.3086678208566,716.1256872923914,2704.920146695647
1260.0,1898.664529725641,447.6147043627038,771.3728022169306,2847.2421744558364
1270.0,1994.8140692666354,335.0482190012172,1086.6922287382017,2895.6023552967354
1280.0,1791.777871631171,498.2711498098903,1053.3850198289322,2895.6023552967354
1290.0,1576.7053539715976,597.3377827973885,281.710844661685,2312.991353204763
1300.0,1626.5760333096478,599.2956598062871,292.95904150580503,2341.4800874660455
1310.0,1517.966846334032,557.1980019981348,495.7670824086649,2256.7031262441233
1320.0,1916.3451262853582,566.1457029443524,973.9430168136121,2896.309375740099
1330.0,2011.969774771485,584.9254528621409,926.8489628844605,2896.309375740099
