Frequency_MHz,Mean,Std_Dev,Min,Max
1540.0,2119.009189123587,536.0298279105342,1040.812182864901,2896.309375740099
1550.0,2101.955449727685,533.8511846573793,1140.9228720645406,2896.309375740099
1560.0,1764.55225241545,364.258958016906,1078.2699105511572,2097.175481451183
1570.0,1853.5504933793154,559.2514358437501,374.1082730975085,2895.6023552967354
1580.0,1845.1324293352902,447.46642132706427,884.3489130428102,2610.8697784454894
1590.0,1702.159847489712,384.46993847867986,844.2541086663422,2080.4470673391334
1600.0,1835.7073127439583,682.5800040569274,381.47345910298924,2895.6023552967354
1610.0,1941.8009515167994,672.7282547124455,375.0333318519835,2894.895162177726
1620.0,2087.333435501425,537.6639554943374,1139.6846054939938,2894.895162177726
1630.0,2188.1080576652776,309.00745618882195,1199.353992781114,2894.895162177726
1640.0,1909.9733773225753,465.88713002077657,872.2138499244322,2894.895162177726
1650.0,1800.936490387947,398.401603396803,714.0112043938807,2084.0585404445815
1660.0,1835.5789949873952,434.3760964430072,954.8429190186205,2894.895162177726
1670.0,1859.6970496596923,347.90223265600844,1149.8386843379378,2665.292666856681
1680.0,1716.2735900672676,478.82339545767036,922.4109713137632,2617.321149572593
1690.0,1837.2534685288272,323.47020323175667,1237.9337623637218,2322.295631481918
1700.0,1989.4447119191132,517.4172187095028,878.3012011832843,2789.5411809112984
1710.0,1845.9550628107204,387.7501593596951,997.0406210380798,2500.70570039739
1720.0,1639.7191269074233,519.5258076880856,673.0601756158212,2894.895162177726
1730.0,1864.35668678074,480.48865174522246,833.0,2877.974635051532
1740.0,1740.691660155381,594.9315122478416,681.6010563372096,2827.862089989538
1750.0,1833.3468424359194,441.4214259981558,653.0068912346944,2635.0081593801565
1760.0,1502.14696291695,567.8489427650484,305.08031729365956,2477.2375743961256
1770.0,1392.4559388859677,593.5176309606968,300.1083137802084,2078.7623721820637
1780.0,1604.9915726948532,598.2084348941434,401.47353586506796,2583.588396010479
1790.0,1714.804678297901,341.8902094059305,998.002004006004,2115.850892667061
1800.0,1757.8321235060603,532.3836826670934,638.2264488408484,2872.356871978132
1810.0,1909.8648006097126,470.57458855320925,956.8803477969437,2790.1657656848993
1820.0,1726.13963361816,462.579382649687,718.7836948623695,2230.914162400696
1830.0,1875.602172542286,729.1103965481888,332.46954747766,2895.6023552967354
1840.0,1650.251581057427,730.3027312132019,300.56779601281306,2894.895162177726
1850.0,1687.4546055102367,699.7172245573861,294.45712760943655,2720.5648310599036
1860.0,1512.2566760086506,436.3282547203043,793.0453959263617,2160.8169751276946
1870.0,1561.646302942084,427.8438319145445,744.2130071424444,2066.6071227981383
1880.0,1767.4062906966528,490.233499065393,818.5499373892835,2560.600124970707
1890.0,1689.409050152644,529.4537385478928,708.4631253636283,2560.400945164644
1900.0,1887.093082972434,588.7448141577084,557.0780914737179,2894.895162177726
1910.0,1770.2648489739665,395.3039393772589,1073.3918203526614,2507.0341042754085
1920.0,1610.6805632053233,608.7126771413447,346.9538874259806,2069.711332529249
1930.0,1480.7590379585974,630.7055347021536,287.67342595380615,2106.8578499746964
1940.0,1250.211973727617,654.0887254402852,272.7288030260097,2526.2115905046435
1950.0,1318.4372529790335,873.6108572797734,245.66033460858102,2894.895162177726
1960.0,1744.2703018748775,623.1437667162556,290.8539152220578,2567.821060743914
1970.0,1728.8862404666686,340.23105020710216,1157.2078464994954,2332.38075793812
1980.0,1824.200016439393,318.54434545682767,985.9513172565876,2088.842981174028
